city_id,month,normal_temperature_2m_mean,normal_temperature_2m_max,normal_daily_precipitation_mm,normal_wind_speed_10m_max
paris_fr,1,4.79,7.46,2.03,21.27
paris_fr,2,5.7,9.33,1.81,22.34
paris_fr,3,7.91,12.26,1.98,20.76
paris_fr,4,10.72,15.59,1.57,18.05
paris_fr,5,14.28,18.88,2.44,18.39
paris_fr,6,18.63,23.34,2.29,17.08
paris_fr,7,20.54,25.33,1.67,17.47
paris_fr,8,20.01,24.85,2.11,17.16
paris_fr,9,17.13,21.89,1.63,16.46
paris_fr,10,13.1,17.04,2.07,18.87
paris_fr,11,8.45,11.4,2.17,19.75
paris_fr,12,6.03,8.57,2.47,20.72
london_gb,1,4.83,7.79,2.11,23.05
london_gb,2,5.71,8.93,1.87,25.74
london_gb,3,7.23,10.97,1.69,23.7
london_gb,4,9.36,13.92,1.34,19.82
london_gb,5,12.84,17.16,1.86,20.52
london_gb,6,16.45,20.81,2.06,19.61
london_gb,7,18.5,22.72,1.82,20.13
london_gb,8,17.74,21.95,2.05,19.95
london_gb,9,15.6,19.75,1.6,19.27
london_gb,10,12.25,15.56,2.47,22.02
london_gb,11,8.25,11.05,2.33,22.2
london_gb,12,6.54,9.09,2.1,23.41
madrid_es,1,5.06,10.12,1.21,15.52
madrid_es,2,7.28,12.89,1.0,16.86
madrid_es,3,10.05,15.95,1.59,18.7
madrid_es,4,13.2,19.05,2.04,17.67
madrid_es,5,18.02,24.33,1.0,18.23
madrid_es,6,23.17,29.46,0.54,17.95
madrid_es,7,27.35,33.96,0.26,18.52
madrid_es,8,26.54,33.02,0.35,17.33
madrid_es,9,20.92,26.84,1.72,15.51
madrid_es,10,15.98,21.67,2.03,14.95
madrid_es,11,9.62,14.28,1.83,15.61
madrid_es,12,6.76,11.42,1.46,14.13
berlin_de,1,1.78,4.0,1.76,20.89
berlin_de,2,2.64,6.22,1.47,20.95
berlin_de,3,5.18,9.44,1.43,19.98
berlin_de,4,9.25,14.04,1.12,19.71
berlin_de,5,14.09,18.75,1.36,19.56
berlin_de,6,19.25,24.0,2.32,17.81
berlin_de,7,20.06,24.57,2.27,18.45
berlin_de,8,20.24,24.93,1.66,17.34
berlin_de,9,16.07,20.61,1.32,17.15
berlin_de,10,11.2,14.66,1.81,18.86
berlin_de,11,6.02,8.61,1.46,18.55
berlin_de,12,3.35,5.39,1.72,20.29
rome_it,1,7.59,12.07,2.48,15.67
rome_it,2,9.2,14.01,2.79,16.35
rome_it,3,10.77,16.09,2.77,17.2
rome_it,4,13.89,19.2,2.09,16.58
rome_it,5,17.91,23.07,2.31,16.3
rome_it,6,23.1,28.84,1.39,16.35
rome_it,7,26.34,32.24,0.68,17.27
rome_it,8,26.08,31.9,0.86,16.44
rome_it,9,21.79,27.04,2.71,15.23
rome_it,10,17.51,22.45,3.0,14.81
rome_it,11,13.08,17.2,5.26,15.6
rome_it,12,9.14,13.63,3.02,14.67
amsterdam_nl,1,4.61,6.75,2.6,24.44
amsterdam_nl,2,4.92,7.77,2.5,25.49
amsterdam_nl,3,6.48,10.03,2.03,23.1
amsterdam_nl,4,9.18,13.05,1.8,20.54
amsterdam_nl,5,12.87,16.75,1.95,20.4
amsterdam_nl,6,16.7,20.49,2.34,19.2
amsterdam_nl,7,18.07,21.64,2.55,20.16
amsterdam_nl,8,18.01,21.6,2.71,19.53
amsterdam_nl,9,15.62,19.24,2.31,18.82
amsterdam_nl,10,12.24,15.07,2.99,22.02
amsterdam_nl,11,7.83,10.24,2.52,22.29
amsterdam_nl,12,5.81,7.78,2.6,24.16
athens_gr,1,8.76,12.26,2.37,16.33
athens_gr,2,9.99,13.71,1.68,16.14
athens_gr,3,11.63,15.62,1.68,16.25
athens_gr,4,15.47,20.05,0.99,15.92
athens_gr,5,20.32,25.02,0.95,16.25
athens_gr,6,24.79,29.52,1.11,16.4
athens_gr,7,28.17,33.16,0.25,17.27
athens_gr,8,27.83,32.9,0.28,17.2
athens_gr,9,23.83,28.47,0.94,16.17
athens_gr,10,18.85,23.14,0.99,14.84
athens_gr,11,14.76,18.53,2.07,15.09
athens_gr,12,10.74,14.1,2.67,15.29
warsaw_pl,1,-0.57,1.64,1.6,19.84
warsaw_pl,2,1.05,4.25,1.51,19.68
warsaw_pl,3,4.19,8.54,1.28,19.21
warsaw_pl,4,9.02,13.75,1.62,19.14
warsaw_pl,5,14.07,18.71,2.45,18.45
warsaw_pl,6,19.14,23.8,2.13,17.02
warsaw_pl,7,20.21,24.71,2.6,17.13
warsaw_pl,8,20.21,24.89,2.58,15.59
warsaw_pl,9,15.34,19.75,2.01,16.75
warsaw_pl,10,10.04,13.67,1.99,18.92
warsaw_pl,11,4.91,7.26,1.33,17.88
warsaw_pl,12,1.63,3.62,1.83,20.08
lisbon_pt,1,11.34,14.3,1.66,20.77
lisbon_pt,2,12.02,15.42,1.9,21.69
lisbon_pt,3,13.33,16.99,1.74,22.18
lisbon_pt,4,15.2,19.0,2.18,20.89
lisbon_pt,5,18.1,22.56,1.28,22.16
lisbon_pt,6,20.05,24.58,0.46,21.58
lisbon_pt,7,21.99,27.25,0.07,22.41
lisbon_pt,8,22.36,27.87,0.05,22.13
lisbon_pt,9,21.1,25.77,1.36,19.79
lisbon_pt,10,18.94,22.93,2.4,19.6
lisbon_pt,11,14.84,17.73,2.84,20.18
lisbon_pt,12,12.74,15.62,2.53,19.67
stockholm_se,1,-0.92,1.07,1.61,19.03
stockholm_se,2,-0.34,2.19,1.25,18.62
stockholm_se,3,1.67,5.28,1.39,18.54
stockholm_se,4,5.24,9.82,0.89,17.99
stockholm_se,5,10.54,15.13,1.79,16.9
stockholm_se,6,16.02,20.35,2.04,16.72
stockholm_se,7,17.85,21.93,1.97,15.89
stockholm_se,8,16.98,20.88,2.39,16.32
stockholm_se,9,13.05,16.47,1.65,16.94
stockholm_se,10,7.84,10.39,1.84,18.37
stockholm_se,11,3.59,5.41,1.73,17.1
stockholm_se,12,0.25,2.1,1.44,17.86
vienna_at,1,1.31,4.21,1.22,22.1
vienna_at,2,3.45,7.39,1.23,22.66
vienna_at,3,6.47,11.34,0.83,21.52
vienna_at,4,10.8,15.78,1.71,20.99
vienna_at,5,15.03,19.48,2.67,21.05
vienna_at,6,20.52,25.42,2.27,18.91
vienna_at,7,22.34,27.22,2.24,19.59
vienna_at,8,21.66,26.51,2.21,18.31
vienna_at,9,16.98,21.6,2.51,18.46
vienna_at,10,11.91,15.93,1.8,20.22
vienna_at,11,6.56,9.68,1.57,20.61
vienna_at,12,2.7,5.51,1.52,21.9
brussels_be,1,4.15,6.53,2.41,23.62
brussels_be,2,5.03,8.3,2.25,24.84
brussels_be,3,6.95,11.0,2.06,22.06
brussels_be,4,9.75,14.36,1.33,18.92
brussels_be,5,13.57,18.13,1.92,19.45
brussels_be,6,17.7,22.08,2.3,18.16
brussels_be,7,18.88,23.11,2.23,18.87
brussels_be,8,18.72,23.0,2.15,18.41
brussels_be,9,15.93,20.15,1.91,17.98
brussels_be,10,12.41,15.69,2.34,21.21
brussels_be,11,7.78,10.43,2.28,21.77
brussels_be,12,5.53,7.73,2.45,23.65
copenhagen_dk,1,2.45,4.0,1.87,28.52
copenhagen_dk,2,2.67,4.63,1.72,28.01
copenhagen_dk,3,4.07,6.8,1.58,25.21
copenhagen_dk,4,7.21,10.59,1.32,24.3
copenhagen_dk,5,11.81,15.1,1.51,22.81
copenhagen_dk,6,16.41,19.53,1.7,21.78
copenhagen_dk,7,17.82,20.78,2.15,22.45
copenhagen_dk,8,17.72,20.48,2.32,22.04
copenhagen_dk,9,15.11,17.65,1.79,23.28
copenhagen_dk,10,11.03,12.86,2.37,26.91
copenhagen_dk,11,6.93,8.35,1.84,26.74
copenhagen_dk,12,4.01,5.47,2.06,27.9
dublin_ie,1,6.02,8.31,2.2,27.4
dublin_ie,2,6.35,8.87,2.54,30.04
dublin_ie,3,7.18,10.1,2.35,26.17
dublin_ie,4,8.72,11.69,1.87,22.29
dublin_ie,5,11.78,14.86,2.21,21.33
dublin_ie,6,14.74,17.73,2.41,20.55
dublin_ie,7,16.32,19.37,2.43,20.62
dublin_ie,8,15.73,18.7,2.76,21.81
dublin_ie,9,14.22,17.12,2.54,22.14
dublin_ie,10,11.72,14.14,2.88,25.09
dublin_ie,11,8.52,10.68,3.13,26.21
dublin_ie,12,7.07,9.19,2.98,27.94
oslo_no,1,-2.55,-0.33,2.44,15.7
oslo_no,2,-1.34,1.37,2.4,16.22
oslo_no,3,1.12,4.99,1.79,15.26
oslo_no,4,5.82,10.58,1.63,15.27
oslo_no,5,11.08,15.52,2.52,15.83
oslo_no,6,16.33,20.69,2.68,15.75
oslo_no,7,17.66,21.7,3.29,15.16
oslo_no,8,16.02,19.83,3.1,15.11
oslo_no,9,12.81,16.14,3.19,15.93
oslo_no,10,7.16,9.61,3.13,16.15
oslo_no,11,2.46,4.2,3.03,15.56
oslo_no,12,-1.62,0.45,2.08,14.04
helsinki_fi,1,-3.11,-1.16,2.16,23.87
helsinki_fi,2,-2.27,-0.2,2.1,23.16
helsinki_fi,3,-0.47,2.17,1.42,22.57
helsinki_fi,4,3.99,7.47,1.27,20.35
helsinki_fi,5,9.91,13.43,1.79,19.93
helsinki_fi,6,15.25,18.46,2.07,20.51
helsinki_fi,7,17.66,20.69,2.44,19.34
helsinki_fi,8,17.0,19.87,2.91,20.19
helsinki_fi,9,12.65,15.21,2.09,20.95
helsinki_fi,10,6.77,8.81,2.46,23.22
helsinki_fi,11,2.84,4.34,2.39,23.46
helsinki_fi,12,-0.6,1.13,2.1,23.9
prague_cz,1,1.04,3.81,1.19,19.47
prague_cz,2,2.25,6.35,1.25,19.5
prague_cz,3,5.25,10.09,1.25,19.13
prague_cz,4,9.53,14.69,1.34,18.27
prague_cz,5,14.17,19.15,2.19,18.08
prague_cz,6,19.36,24.35,2.47,16.75
prague_cz,7,20.86,25.94,2.04,17.08
prague_cz,8,20.41,25.39,2.54,15.67
prague_cz,9,15.92,20.83,1.73,15.37
prague_cz,10,10.99,15.3,1.68,16.93
prague_cz,11,5.52,8.68,1.43,16.47
prague_cz,12,2.76,5.34,1.48,18.93
budapest_hu,1,0.78,4.1,1.34,16.08
budapest_hu,2,3.36,7.55,1.59,17.71
budapest_hu,3,6.71,12.0,1.23,17.14
budapest_hu,4,11.55,16.81,1.48,17.9
budapest_hu,5,16.06,20.85,2.6,16.98
budapest_hu,6,21.31,26.09,2.17,15.23
budapest_hu,7,23.16,28.1,2.35,16.2
budapest_hu,8,22.65,27.75,2.1,14.45
budapest_hu,9,17.67,22.52,2.41,14.79
budapest_hu,10,12.01,16.58,1.99,15.57
budapest_hu,11,6.5,9.93,1.88,14.87
budapest_hu,12,2.16,5.11,1.73,15.49
zurich_ch,1,1.39,4.58,3.2,12.85
zurich_ch,2,2.82,7.15,2.55,13.71
zurich_ch,3,5.77,10.84,2.14,13.62
