city_id,heat_monitored,wind_monitored,rain_monitored,air_monitored,river_monitored
paris_fr,true,true,true,true,true
london_gb,true,true,true,true,false
madrid_es,true,true,true,true,false
berlin_de,true,true,true,true,false
rome_it,true,true,true,true,false
amsterdam_nl,true,true,true,true,true
athens_gr,true,true,true,true,false
warsaw_pl,true,true,true,true,true
lisbon_pt,true,true,true,true,false
stockholm_se,true,true,true,true,false
vienna_at,true,true,true,true,true
brussels_be,true,true,true,true,false
copenhagen_dk,true,true,true,true,false
dublin_ie,true,true,true,true,false
oslo_no,true,true,true,true,false
helsinki_fi,true,true,true,true,false
prague_cz,true,true,true,true,false
budapest_hu,true,true,true,true,true
zurich_ch,true,true,true,true,false
bucharest_ro,true,true,true,true,false
